interpro,short_name,type,xrefdb,xref
IPR000052,Pltvir_coat,Domain,PRINTS,PR00232
IPR000052,Pltvir_coat,Domain,PROSITE,PS00418
IPR000054,Ribosomal_L31e,Family,HAMAP,MF_00410
IPR000054,Ribosomal_L31e,Family,PFAM,PF01198
IPR000054,Ribosomal_L31e,Family,PANTHER,PTHR10956
IPR000054,Ribosomal_L31e,Family,SMART,SM01380
IPR000054,Ribosomal_L31e,Family,CDD,cd00463
IPR000055,Restrct_endonuc_typeI_HsdS,Domain,PFAM,PF01420
IPR000056,Ribul_P_3_epim-like,Family,PFAM,PF00834
IPR000056,Ribul_P_3_epim-like,Family,PROSITE,PS01085
IPR000056,Ribul_P_3_epim-like,Family,PROSITE,PS01086
IPR000056,Ribul_P_3_epim-like,Family,PANTHER,PTHR11749
IPR000056,Ribul_P_3_epim-like,Family,CDD,cd00429
IPR000058,Znf_AN1,Domain,PFAM,PF01428
IPR000058,Znf_AN1,Domain,PROFILE,PS51039
IPR000058,Znf_AN1,Domain,SMART,SM00154
IPR000060,BCCT_transptr,Family,PFAM,PF02028
IPR000060,BCCT_transptr,Family,PANTHER,PTHR30047
IPR000060,BCCT_transptr,Family,TIGRFAMs,TIGR00842
IPR000061,Surp,Domain,PFAM,PF01805
IPR000061,Surp,Domain,PROFILE,PS50128
IPR000061,Surp,Domain,SMART,SM00648
IPR000064,NLP_P60_dom,Domain,PFAM,PF00877
IPR000065,Leptin,Family,PFAM,PF02024
IPR000065,Leptin,Family,PIRSF,PIRSF001837
IPR000065,Leptin,Family,PRINTS,PR00495
IPR000065,Leptin,Family,PANTHER,PTHR11724
IPR000066,Antenna_a/b,Domain,PFAM,PF00556
IPR000069,Env_glycoprot_M_flavivir,Domain,PFAM,PF01004
IPR000070,Pectinesterase_cat,Domain,PFAM,PF01095
IPR000071,Lentvrl_matrix_N,Domain,PFAM,PF00540
IPR000071,Lentvrl_matrix_N,Domain,PRINTS,PR00234
IPR000072,PDGF/VEGF_dom,Domain,PFAM,PF00341
IPR000072,PDGF/VEGF_dom,Domain,PROFILE,PS50278
IPR000072,PDGF/VEGF_dom,Domain,SMART,SM00141
IPR000072,PDGF/VEGF_dom,Domain,CDD,cd00135
IPR000073,AB_hydrolase_1,Domain,PFAM,PF00561
IPR000073,AB_hydrolase_1,Domain,PFAM,PF12697
IPR000073,AB_hydrolase_1,Domain,PRINTS,PR00111
IPR000074,ApoA_E,Family,PFAM,PF01442
IPR000077,Ribosomal_L39,Family,HAMAP,MF_00629
IPR000077,Ribosomal_L39,Family,PFAM,PF00832
IPR000079,HMGN_fam,Family,PFAM,PF01101
IPR000079,HMGN_fam,Family,PRINTS,PR00925
IPR000079,HMGN_fam,Family,PROSITE,PS00355
IPR000079,HMGN_fam,Family,SMART,SM00527
IPR000081,Peptidase_C3,Domain,PFAM,PF00947
IPR000082,SEA_dom,Domain,PFAM,PF01390
IPR000082,SEA_dom,Domain,PROFILE,PS50024
IPR000082,SEA_dom,Domain,SMART,SM00200
IPR000083,Fibronectin_type1,Domain,PFAM,PF00039
IPR000083,Fibronectin_type1,Domain,PROSITE,PS01253
IPR000083,Fibronectin_type1,Domain,PROFILE,PS51091
IPR000083,Fibronectin_type1,Domain,SMART,SM00058
IPR000083,Fibronectin_type1,Domain,CDD,cd00061
IPR000084,PE-PGRS_N,Domain,PFAM,PF00934
IPR000086,NUDIX_hydrolase_dom,Domain,PFAM,PF00293
IPR000086,NUDIX_hydrolase_dom,Domain,PROFILE,PS51462
IPR000089,Biotin_lipoyl,Domain,PFAM,PF00364
IPR000089,Biotin_lipoyl,Domain,PROFILE,PS50968
IPR000092,Polyprenyl_synt,Family,PFAM,PF00348
IPR000092,Polyprenyl_synt,Family,CDD,cd00685
IPR000095,CRIB_dom,Domain,PFAM,PF00786
IPR000095,CRIB_dom,Domain,PROFILE,PS50108
IPR000095,CRIB_dom,Domain,SMART,SM00285
IPR000096,Serum_amyloid_A,Family,PFAM,PF00277
IPR000096,Serum_amyloid_A,Family,PIRSF,PIRSF002472
IPR000096,Serum_amyloid_A,Family,PRINTS,PR00306
IPR000096,Serum_amyloid_A,Family,PROSITE,PS00992
IPR000096,Serum_amyloid_A,Family,SMART,SM00197
IPR000100,RNase_P,Family,HAMAP,MF_00227
IPR000100,RNase_P,Family,PFAM,PF00825
IPR000100,RNase_P,Family,PANTHER,PTHR33992
IPR000100,RNase_P,Family,TIGRFAMs,TIGR00188
IPR000102,MAP1B_neuraxin,Repeat,PFAM,PF00414
IPR000102,MAP1B_neuraxin,Repeat,PROSITE,PS00230
IPR000109,POT_fam,Family,PFAM,PF00854
IPR000109,POT_fam,Family,PANTHER,PTHR11654
IPR000117,Casein_kappa,Family,PFAM,PF00997
IPR000117,Casein_kappa,Family,PIRSF,PIRSF002374
IPR000117,Casein_kappa,Family,PANTHER,PTHR11470
IPR000118,Granulin,Domain,PFAM,PF00396
IPR000118,Granulin,Domain,PROSITE,PS00799
IPR000118,Granulin,Domain,SMART,SM00277
IPR000119,Hist_DNA-bd,Family,PFAM,PF00216
IPR000119,Hist_DNA-bd,Family,PRINTS,PR01727
IPR000119,Hist_DNA-bd,Family,PANTHER,PTHR33175
IPR000119,Hist_DNA-bd,Family,SMART,SM00411
IPR000121,PEP_util_C,Domain,PFAM,PF02896
IPR000128,Progest_rcpt,Family,PFAM,PF02161
IPR000128,Progest_rcpt,Family,PRINTS,PR00544
IPR000131,ATP_synth_F1_gsu,Family,HAMAP,MF_00815
IPR000131,ATP_synth_F1_gsu,Family,PFAM,PF00231
IPR000131,ATP_synth_F1_gsu,Family,PRINTS,PR00126
IPR000131,ATP_synth_F1_gsu,Family,PANTHER,PTHR11693
IPR000131,ATP_synth_F1_gsu,Family,TIGRFAMs,TIGR01146
IPR000131,ATP_synth_F1_gsu,Family,CDD,cd12151
IPR000133,ER_ret_rcpt,Family,PFAM,PF00810
IPR000133,ER_ret_rcpt,Family,PRINTS,PR00660
IPR000133,ER_ret_rcpt,Family,PROSITE,PS00951
IPR000133,ER_ret_rcpt,Family,PROSITE,PS00952
IPR000133,ER_ret_rcpt,Family,PANTHER,PTHR10585
IPR000136,Oleosin,Family,PFAM,PF01277
IPR000136,Oleosin,Family,PROSITE,PS00811
IPR000136,Oleosin,Family,PANTHER,PTHR33203
IPR000145,Capsid_VP5_Orbivir,Family,PFAM,PF00901
IPR000148,Papilloma_E7,Family,HAMAP,MF_04004
IPR000148,Papilloma_E7,Family,PFAM,PF00527
IPR000148,Papilloma_E7,Family,PIRSF,PIRSF003407
IPR000151,Ciliary_neurotrophic_fac_CNTF,Family,PFAM,PF01110
IPR000151,Ciliary_neurotrophic_fac_CNTF,Family,PANTHER,PTHR15196
IPR000153,Reo_capsid_sigma3,Family,PFAM,PF00979
IPR000156,Ran_bind_dom,Domain,PFAM,PF00638
IPR000156,Ran_bind_dom,Domain,PROFILE,PS50196
IPR000156,Ran_bind_dom,Domain,SMART,SM00160
IPR000157,TIR_dom,Domain,PFAM,PF01582
IPR000157,TIR_dom,Domain,PFAM,PF13676
IPR000157,TIR_dom,Domain,PROFILE,PS50104
IPR000157,TIR_dom,Domain,SMART,SM00255
IPR000159,RA_dom,Domain,PFAM,PF00788
IPR000159,RA_dom,Domain,PROFILE,PS50200
IPR000159,RA_dom,Domain,SMART,SM00314
IPR000160,GGDEF_dom,Domain,PFAM,PF00990
IPR000160,GGDEF_dom,Domain,PROFILE,PS50887
IPR000160,GGDEF_dom,Domain,SMART,SM00267
IPR000160,GGDEF_dom,Domain,TIGRFAMs,TIGR00254
IPR000160,GGDEF_dom,Domain,CDD,cd01949
IPR000167,Dehydrin,Family,PFAM,PF00257
IPR000167,Dehydrin,Family,PANTHER,PTHR33346
IPR000170,High_potential_FeS_prot,Domain,PFAM,PF01355
IPR000170,High_potential_FeS_prot,Domain,PROFILE,PS51373
IPR000172,GMC_OxRdtase_N,Domain,PFAM,PF00732
IPR000172,GMC_OxRdtase_N,Domain,PROSITE,PS00623
IPR000172,GMC_OxRdtase_N,Domain,PROSITE,PS00624
IPR000175,Na/ntran_symport,Family,PFAM,PF00209
IPR000175,Na/ntran_symport,Family,PRINTS,PR00176
IPR000175,Na/ntran_symport,Family,PROSITE,PS00610
IPR000175,Na/ntran_symport,Family,PROSITE,PS00754
IPR000175,Na/ntran_symport,Family,PROFILE,PS50267
IPR000175,Na/ntran_symport,Family,PANTHER,PTHR11616
IPR000176,mRNA_MeTrfase-like,Family,PFAM,PF01358
IPR000182,GNAT_dom,Domain,PFAM,PF00583
IPR000182,GNAT_dom,Domain,PFAM,PF13302
IPR000182,GNAT_dom,Domain,PFAM,PF13508
IPR000182,GNAT_dom,Domain,PFAM,PF13673
IPR000182,GNAT_dom,Domain,PFAM,PF13718
IPR000182,GNAT_dom,Domain,PROFILE,PS51186
IPR000184,Bac_surfAg_D15,Domain,PFAM,PF01103
IPR000186,IL-5,Family,PFAM,PF02025
IPR000186,IL-5,Family,PRINTS,PR00432
IPR000187,CRF,Domain,PFAM,PF00473
IPR000187,CRF,Domain,SMART,SM00039
IPR000192,Aminotrans_V_dom,Domain,PFAM,PF00266
IPR000194,ATPase_F1/V1/A1_a/bsu_nucl-bd,Domain,PFAM,PF00006
IPR000195,Rab-GTPase-TBC_dom,Domain,PFAM,PF00566
IPR000195,Rab-GTPase-TBC_dom,Domain,PROFILE,PS50086
IPR000195,Rab-GTPase-TBC_dom,Domain,SMART,SM00164
IPR000196,Ribosomal_L19/L19e,Domain,HAMAP,MF_01475
IPR000196,Ribosomal_L19/L19e,Domain,PFAM,PF01280
IPR000196,Ribosomal_L19/L19e,Domain,SMART,SM01416
IPR000197,Znf_TAZ,Domain,PFAM,PF02135
IPR000197,Znf_TAZ,Domain,PROFILE,PS50134
IPR000197,Znf_TAZ,Domain,SMART,SM00551
IPR000198,RhoGAP_dom,Domain,PFAM,PF00620
IPR000198,RhoGAP_dom,Domain,PROFILE,PS50238
IPR000198,RhoGAP_dom,Domain,SMART,SM00324
IPR000199,Peptidase_C3A/C3B_picornavir,Domain,PFAM,PF00548
IPR000200,Peptidase_C10,Family,PFAM,PF01640
IPR000200,Peptidase_C10,Family,PRINTS,PR00797
IPR000201,DNApol_viral_N,Domain,PFAM,PF00242
IPR000203,GPS,Domain,PFAM,PF01825
IPR000203,GPS,Domain,PROFILE,PS50221
IPR000203,GPS,Domain,SMART,SM00303
IPR000208,RNA-dir_pol_flavivirus,Domain,PFAM,PF00972
IPR000209,Peptidase_S8/S53_dom,Domain,PFAM,PF00082
IPR000210,BTB/POZ_dom,Domain,PFAM,PF00651
IPR000210,BTB/POZ_dom,Domain,PROFILE,PS50097
IPR000210,BTB/POZ_dom,Domain,SMART,SM00225
IPR000211,Gemini_BL,Family,PFAM,PF00845
IPR000218,Ribosomal_L14P,Family,HAMAP,MF_01367
IPR000218,Ribosomal_L14P,Family,PFAM,PF00238
IPR000218,Ribosomal_L14P,Family,PANTHER,PTHR11761
IPR000218,Ribosomal_L14P,Family,SMART,SM01374
IPR000219,DH-domain,Domain,PFAM,PF00621
IPR000219,DH-domain,Domain,PROFILE,PS50010
IPR000219,DH-domain,Domain,SMART,SM00325
IPR000219,DH-domain,Domain,CDD,cd00160
IPR000221,Protamine_P1,Family,PFAM,PF00260
IPR000221,Protamine_P1,Family,PROSITE,PS00048
IPR000225,Armadillo,Repeat,PFAM,PF00514
IPR000225,Armadillo,Repeat,PROFILE,PS50176
IPR000225,Armadillo,Repeat,SMART,SM00185
IPR000232,HSF_DNA-bd,Domain,PFAM,PF00447
IPR000232,HSF_DNA-bd,Domain,PRINTS,PR00056
IPR000232,HSF_DNA-bd,Domain,PROSITE,PS00434
IPR000232,HSF_DNA-bd,Domain,SMART,SM00415
IPR000233,Cadherin_cytoplasmic-dom,Domain,PFAM,PF01049
IPR000236,Transactivation_prot_X,Family,HAMAP,MF_04074
IPR000236,Transactivation_prot_X,Family,PFAM,PF00739
IPR000237,GRIP_dom,Domain,PFAM,PF01465
IPR000237,GRIP_dom,Domain,PROFILE,PS50913
IPR000237,GRIP_dom,Domain,SMART,SM00755
IPR000238,RbfA,Family,HAMAP,MF_00003
IPR000238,RbfA,Family,PFAM,PF02033
IPR000238,RbfA,Family,PANTHER,PTHR33515
IPR000238,RbfA,Family,TIGRFAMs,TIGR00082
IPR000241,RNA_methylase_dom,Domain,PFAM,PF01170
IPR000241,RNA_methylase_dom,Domain,PROSITE,PS01261
IPR000242,PTPase_domain,Domain,PFAM,PF00102
IPR000242,PTPase_domain,Domain,PRINTS,PR00700
IPR000242,PTPase_domain,Domain,PROFILE,PS50055
IPR000242,PTPase_domain,Domain,SMART,SM00194
IPR000246,Peptidase_T2,Family,PFAM,PF01112
IPR000246,Peptidase_T2,Family,PANTHER,PTHR10188
IPR000249,Microcompartment_bac,Domain,PFAM,PF00936
IPR000249,Microcompartment_bac,Domain,SMART,SM00877
IPR000250,Peptidase_G1,Family,PFAM,PF01828
IPR000250,Peptidase_G1,Family,PRINTS,PR00977
IPR000250,Peptidase_G1,Family,PANTHER,PTHR37536
IPR000253,FHA_dom,Domain,PFAM,PF00498
IPR000253,FHA_dom,Domain,PROFILE,PS50006
IPR000253,FHA_dom,Domain,SMART,SM00240
IPR000253,FHA_dom,Domain,CDD,cd00060
IPR000254,Cellulose-bd_dom_fun,Domain,PFAM,PF00734
IPR000254,Cellulose-bd_dom_fun,Domain,PROSITE,PS00562
IPR000254,Cellulose-bd_dom_fun,Domain,PROFILE,PS51164
IPR000254,Cellulose-bd_dom_fun,Domain,SMART,SM00236
IPR000256,NS1A,Family,PFAM,PF00600
IPR000257,Uroporphyrinogen_deCOase,Domain,PFAM,PF01208
IPR000257,Uroporphyrinogen_deCOase,Domain,PROSITE,PS00906
IPR000257,Uroporphyrinogen_deCOase,Domain,PROSITE,PS00907
IPR000258,Ice_nucleatn,Repeat,PFAM,PF00818
IPR000258,Ice_nucleatn,Repeat,PRINTS,PR00327
IPR000258,Ice_nucleatn,Repeat,PROSITE,PS00314
IPR000259,Adhesion_dom_fimbrial,Domain,PFAM,PF00419
IPR000260,NADH4_N,Domain,PFAM,PF01059
IPR000261,EH_dom,Domain,PFAM,PF12763
IPR000261,EH_dom,Domain,PROFILE,PS50031
IPR000261,EH_dom,Domain,SMART,SM00027
IPR000261,EH_dom,Domain,CDD,cd00052
IPR000262,FMN-dep_DH,Domain,PFAM,PF01070
IPR000263,GV_A/BR1_coat,Family,PFAM,PF00844
IPR000263,GV_A/BR1_coat,Family,PRINTS,PR00223
IPR000266,Ribosomal_S17/S11,Family,PFAM,PF00366
IPR000266,Ribosomal_S17/S11,Family,PRINTS,PR00973
IPR000266,Ribosomal_S17/S11,Family,PANTHER,PTHR10744
IPR000268,RNAP_N/Rpb10,Family,HAMAP,MF_00250
IPR000268,RNAP_N/Rpb10,Family,PFAM,PF01194
IPR000268,RNAP_N/Rpb10,Family,PIRSF,PIRSF005653
IPR000268,RNAP_N/Rpb10,Family,PANTHER,PTHR23431
IPR000270,PB1_dom,Domain,PFAM,PF00564
IPR000270,PB1_dom,Domain,PROFILE,PS51745
IPR000270,PB1_dom,Domain,SMART,SM00666
IPR000271,Ribosomal_L34,Family,HAMAP,MF_00391
IPR000271,Ribosomal_L34,Family,PFAM,PF00468
IPR000271,Ribosomal_L34,Family,PANTHER,PTHR14503
IPR000271,Ribosomal_L34,Family,TIGRFAMs,TIGR01030
IPR000272,Ion-transport_regulator_FXYD,Family,PFAM,PF02038
IPR000272,Ion-transport_regulator_FXYD,Family,PROSITE,PS01310
IPR000274,Adenylate_cyclase_1,Family,PFAM,PF01295
IPR000274,Adenylate_cyclase_1,Family,PIRSF,PIRSF001444
IPR000274,Adenylate_cyclase_1,Family,PANTHER,PTHR38760
IPR000275,Coagulin,Family,PFAM,PF02035
IPR000275,Coagulin,Family,PIRSF,PIRSF002379
IPR000275,Coagulin,Family,PRINTS,PR00763
IPR000276,GPCR_Rhodpsn,Family,PFAM,PF00001
IPR000276,GPCR_Rhodpsn,Family,PRINTS,PR00237
IPR000276,GPCR_Rhodpsn,Family,PROSITE,PS00237
IPR000276,GPCR_Rhodpsn,Family,SMART,SM01381
IPR000277,Cys/Met-Metab_PyrdxlP-dep_enz,Family,PFAM,PF01053
IPR000277,Cys/Met-Metab_PyrdxlP-dep_enz,Family,PIRSF,PIRSF001434
IPR000277,Cys/Met-Metab_PyrdxlP-dep_enz,Family,PROSITE,PS00868
IPR000277,Cys/Met-Metab_PyrdxlP-dep_enz,Family,PANTHER,PTHR11808
IPR000277,Cys/Met-Metab_PyrdxlP-dep_enz,Family,CDD,cd00614
IPR000280,Pestivirus_NS3_S31,Domain,PFAM,PF05578
IPR000280,Pestivirus_NS3_S31,Domain,PRINTS,PR00729
IPR000280,Pestivirus_NS3_S31,Domain,PROFILE,PS51535
IPR000281,HTH_RpiR,Domain,PFAM,PF01418
IPR000281,HTH_RpiR,Domain,PROFILE,PS51071
IPR000289,Ribosomal_S28e,Family,HAMAP,MF_00292
IPR000289,Ribosomal_S28e,Family,PFAM,PF01200
IPR000289,Ribosomal_S28e,Family,PANTHER,PTHR10769
IPR000289,Ribosomal_S28e,Family,CDD,cd04457
IPR000290,Colicin_pyocin,Family,PFAM,PF01320
IPR000290,Colicin_pyocin,Family,PRINTS,PR01299
IPR000290,Colicin_pyocin,Family,CDD,cd16363
IPR000292,For/NO2_transpt,Family,PFAM,PF01226
IPR000292,For/NO2_transpt,Family,PANTHER,PTHR30520
IPR000292,For/NO2_transpt,Family,TIGRFAMs,TIGR00790
IPR000293,Channel_colicin_C,Domain,PFAM,PF01024
IPR000293,Channel_colicin_C,Domain,PRINTS,PR00280
IPR000293,Channel_colicin_C,Domain,PROSITE,PS00276
IPR000294,GLA_domain,Domain,PFAM,PF00594
IPR000294,GLA_domain,Domain,PRINTS,PR00001
IPR000294,GLA_domain,Domain,PROSITE,PS00011
IPR000294,GLA_domain,Domain,PROFILE,PS50998
IPR000294,GLA_domain,Domain,SMART,SM00069
IPR000297,PPIase_PpiC,Domain,PFAM,PF00639
IPR000297,PPIase_PpiC,Domain,PFAM,PF13145
IPR000297,PPIase_PpiC,Domain,PROFILE,PS50198
IPR000298,Cyt_c_oxidase-like_su3,Domain,PFAM,PF00510
IPR000298,Cyt_c_oxidase-like_su3,Domain,PROFILE,PS50253
IPR000305,GIY-YIG_endonuc,Domain,PFAM,PF01541
IPR000305,GIY-YIG_endonuc,Domain,PROFILE,PS50164
IPR000305,GIY-YIG_endonuc,Domain,SMART,SM00465
IPR000306,Znf_FYVE,Domain,PFAM,PF01363
IPR000306,Znf_FYVE,Domain,SMART,SM00064
IPR000307,Ribosomal_S16,Family,HAMAP,MF_00385
IPR000307,Ribosomal_S16,Family,PFAM,PF00886
IPR000307,Ribosomal_S16,Family,PANTHER,PTHR12919
IPR000307,Ribosomal_S16,Family,TIGRFAMs,TIGR00002
IPR000310,Orn/Lys/Arg_deCO2ase_major_dom,Domain,PFAM,PF01276
IPR000310,Orn/Lys/Arg_deCO2ase_major_dom,Domain,PROSITE,PS00703
IPR000310,Orn/Lys/Arg_deCO2ase_major_dom,Domain,CDD,cd00615
IPR000312,Glycosyl_Trfase_fam3,Domain,PFAM,PF00591
IPR000313,PWWP_dom,Domain,PFAM,PF00855
IPR000313,PWWP_dom,Domain,PROFILE,PS50812
IPR000313,PWWP_dom,Domain,SMART,SM00293
IPR000315,Znf_B-box,Domain,PFAM,PF00643
IPR000315,Znf_B-box,Domain,PROFILE,PS50119
IPR000315,Znf_B-box,Domain,SMART,SM00336
IPR000315,Znf_B-box,Domain,CDD,cd00021
IPR000316,Metallthion_15,Family,PFAM,PF02068
IPR000316,Metallthion_15,Family,PRINTS,PR00877
IPR000317,Peptidase_C24,Domain,PFAM,PF03510
IPR000317,Peptidase_C24,Domain,PRINTS,PR00916
IPR000317,Peptidase_C24,Domain,PROFILE,PS51894
IPR000320,Hedgehog_signalling_dom,Domain,PFAM,PF01085
IPR000322,Glyco_hydro_31,Family,PFAM,PF01055
IPR000323,Cu2_ascorb_mOase_N,Domain,PFAM,PF01082
IPR000326,P_Acid_Pase_2/haloperoxidase,Domain,PFAM,PF01569
IPR000326,P_Acid_Pase_2/haloperoxidase,Domain,SMART,SM00014
IPR000327,POU_dom,Domain,PFAM,PF00157
IPR000327,POU_dom,Domain,PROSITE,PS00035
IPR000327,POU_dom,Domain,PROSITE,PS00465
IPR000327,POU_dom,Domain,PROFILE,PS51179
IPR000327,POU_dom,Domain,SMART,SM00352
IPR000328,GP41-like,Domain,PFAM,PF00517
IPR000328,GP41-like,Domain,CDD,cd09909
IPR000330,SNF2_N,Domain,PFAM,PF00176
IPR000331,Rap_GAP_dom,Domain,PFAM,PF02145
IPR000331,Rap_GAP_dom,Domain,PROFILE,PS50085
IPR000334,Glyco_hydro_45,Domain,PFAM,PF02015
IPR000334,Glyco_hydro_45,Domain,PROSITE,PS01140
IPR000340,Dual-sp_phosphatase_cat-dom,Domain,PFAM,PF00782
IPR000341,PI3K_Ras-bd_dom,Domain,PFAM,PF00794
IPR000341,PI3K_Ras-bd_dom,Domain,PROFILE,PS51546
IPR000341,PI3K_Ras-bd_dom,Domain,SMART,SM00144
IPR000344,7TM_GPCR_serpentine_rcpt_Sra,Family,PFAM,PF02117
IPR000344,7TM_GPCR_serpentine_rcpt_Sra,Family,PRINTS,PR00697
IPR000347,Metalthion_15p,Family,PFAM,PF01439
IPR000347,Metalthion_15p,Family,PANTHER,PTHR33543
IPR000349,HBV_HBSAG,Family,HAMAP,MF_04075
IPR000349,HBV_HBSAG,Family,PFAM,PF00695
IPR000352,Pep_chain_release_fac_I,Domain,PFAM,PF00472
IPR000352,Pep_chain_release_fac_I,Domain,PROSITE,PS00745
IPR000353,MHC_II_b_N,Domain,PFAM,PF00969
IPR000353,MHC_II_b_N,Domain,SMART,SM00921
IPR000354,Involucrin_rpt,Repeat,PFAM,PF00904
IPR000357,HEAT,Repeat,PFAM,PF02985
IPR000358,RNR_small_fam,Family,PFAM,PF00268
IPR000358,RNR_small_fam,Family,PIRSF,PIRSF000355
IPR000358,RNR_small_fam,Family,PANTHER,PTHR23409
IPR000361,FeS_biogenesis,Domain,PFAM,PF01521
IPR000366,GPCR_STE2,Family,PFAM,PF02116
IPR000366,GPCR_STE2,Family,PRINTS,PR00250
IPR000366,GPCR_STE2,Family,PANTHER,PTHR28009
IPR000368,Sucrose_synth,Domain,PFAM,PF00862
IPR000369,K_chnl_KCNE,Family,PFAM,PF02060
IPR000369,K_chnl_KCNE,Family,PRINTS,PR00168
IPR000369,K_chnl_KCNE,Family,PANTHER,PTHR15282
IPR000372,LRRNT,Domain,PFAM,PF01462
IPR000372,LRRNT,Domain,SMART,SM00013
IPR000375,Dynamin_stalk,Domain,PFAM,PF01031
IPR000382,Peptidase_S39B_luteovirus,Domain,PFAM,PF02122
IPR000382,Peptidase_S39B_luteovirus,Domain,PROFILE,PS51868
IPR000383,Xaa-Pro-like_dom,Domain,PFAM,PF02129
IPR000390,Small_multidrug_res,Family,PFAM,PF00893
IPR000390,Small_multidrug_res,Family,PANTHER,PTHR30561
