Convergently-targeted host domain,DDIs mapped to eukaryote-endogenous PPIs,DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,# DDIs mapped to eukaryote-endogenous PPIs,# DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,Host-pathogen PPIs (PMIDs)
PF00957,PF00957_PF00432; PF00957_PF00804; PF00957_PF00835; PF00957_PF00957; PF05739_PF00957; PF05835_PF00957; PF07651_PF00957; PF12352_PF00957; PF12796_PF00957; PF13774_PF00957; PF14938_PF00957,,11,0,P63027_A7GBG3 (19543288;22172278)
PF00244,PF00244_PF00011; PF00244_PF00129; PF00244_PF00130; PF00244_PF00244; PF00357_PF00244; PF00525_PF00244; PF00583_PF00244; PF01161_PF00244; PF01204_PF00244; PF07714_PF00244,,10,0,P31947_Q51451 (12383250)
PF00062,PF00062_PF00041; PF00062_PF00062; PF00595_PF00062; PF02709_PF00062; PF07654_PF00062; PF12796_PF00062; PF13637_PF00062; PF13733_PF00062; PF13855_PF00062,,9,0,P00698_Q9HXB1 (17405861)
PF01403,PF01403_PF00047; PF01403_PF00089; PF01403_PF00431; PF01403_PF01403; PF01437_PF01403; PF01833_PF01403; PF07686_PF01403; PF12796_PF01403,,8,0,P08581_P0DQD2 (17662939)
PF07678,PF07678_PF00084; PF07678_PF00090; PF07678_PF00092; PF07678_PF01823; PF07678_PF01835; PF07678_PF07677; PF17790_PF07678; PF17791_PF07678,,8,0,P01024_Q2FZB8 (26627825)
PF14604,PF14604_PF00018; PF14604_PF00169; PF14604_PF00240; PF14604_PF00611; PF14604_PF00621; PF14604_PF07714; PF14604_PF12796; PF14604_PF14604,,8,0,Q9UHR4_P0DJ88 (21098279;22544751;22921828)
PF00028,PF00028_PF00028; PF00059_PF00028; PF02351_PF00028; PF07686_PF00028; PF12799_PF00028; PF18432_PF00028,,6,0,P12830_P0DJM0 (12526809;17715295)
PF00787,PF00787_PF00169; PF00787_PF00564; PF00787_PF00787; PF03635_PF00787; PF03643_PF00787; PF09325_PF00787,,6,0,Q13596_P0DJI4 (26118995)
PF07653,PF07653_PF00017; PF07653_PF00018; PF07653_PF00595; PF07653_PF00625; PF07653_PF07653; PF10600_PF07653,,6,0,Q9UQB8_Q8X482 (22544751)
PF07703,PF07703_PF00057; PF07703_PF00084; PF07703_PF00207; PF07703_PF07686; PF07703_PF07703; PF17789_PF07703,,6,0,P01024_D3JIB2 (21217642)
PF17790,PF17790_PF00084; PF17790_PF00089; PF17790_PF00090; PF17790_PF07678; PF17790_PF07686,,5,0,P01024_D3JIB2 (21217642)
PF17789,PF17789_PF00084; PF17789_PF07686; PF17789_PF07703,,3,0,P01024_D3JIB2 (21217642)
PF00039,PF00040_PF00039; PF01391_PF00039,,2,0,P02751_Q01924 (12736686)
PF00405,PF00405_PF00139; PF04253_PF00405,,2,0,P02788_Q7BMV7 (20133713)
PF00786,PF00786_PF00069; PF00786_PF00071,,2,0,A0A287ATX4_Q8X482 (15296718;15527496;18650809;18974829;22921828)
PF00822,PF00822_PF00060; PF00822_PF00822,,2,0,Q9ET38_P01558 (25678664)
PF03106,PF03106_PF03106,,1,0,P0DKH5_Q8Y125 (24744375)
PF08397,PF08397_PF08397,,1,0,Q9UHR4_B7UM99 (25519916)
PF00069,PF00069_PF00022; PF00069_PF00023; PF00069_PF00027; PF00069_PF00036; PF00069_PF00041; PF00071_PF00069; PF00076_PF00069; PF00130_PF00069; PF00134_PF00069; PF00169_PF00069; PF00183_PF00069; PF00226_PF00069; PF00240_PF00069; PF00254_PF00069; PF00481_PF00069; PF00536_PF00069; PF00564_PF00069; PF00575_PF00069; PF00581_PF00069; PF00615_PF00069; PF00627_PF00069; PF00782_PF00069; PF00786_PF00069; PF00814_PF00069; PF00931_PF00069; PF01111_PF00069; PF01214_PF00069; PF01335_PF00069; PF02026_PF00069; PF02197_PF00069; PF02234_PF00069; PF02827_PF00069; PF02984_PF00069; PF02985_PF00069; PF03226_PF00069; PF03234_PF00069; PF03261_PF00069; PF03874_PF00069; PF03941_PF00069; PF04272_PF00069; PF04739_PF00069; PF05110_PF00069; PF05350_PF00069; PF05706_PF00069; PF05729_PF00069; PF06391_PF00069; PF07535_PF00069; PF07679_PF00069; PF07686_PF00069; PF07714_PF00069; PF08565_PF00069; PF08569_PF00069; PF08613_PF00069; PF09041_PF00069; PF10434_PF00069; PF11357_PF00069; PF11610_PF00069; PF12330_PF00069; PF12796_PF00069; PF13202_PF00069; PF13405_PF00069; PF13499_PF00069; PF13516_PF00069; PF13637_PF00069; PF13646_PF00069; PF13833_PF00069; PF13857_PF00069; PF15170_PF00069; PF15342_PF00069; PF16517_PF00069; PF16561_PF00069; PF16899_PF00069; PF18101_PF00069,PF00069_PF00069; PF00498_PF00069,73,2,O94921_Q83DF6 (29176882)
PF00025,PF00169_PF00025; PF00626_PF00025; PF00928_PF00025; PF01369_PF00025; PF01412_PF00025; PF01465_PF00025; PF01602_PF00025; PF04810_PF00025; PF04811_PF00025; PF04815_PF00025; PF05351_PF00025; PF06456_PF00025; PF07986_PF00025; PF11527_PF00025; PF12796_PF00025; PF14779_PF00025; PF16213_PF00025; PF16471_PF00025; PF16540_PF00025; PF16893_PF00025; PF18308_PF00025,PF00025_PF00025,21,1,P62330_Q7DB50 (22939626)
PF00656,PF00656_PF00653; PF12796_PF00656; PF13637_PF00656,PF00656_PF00656,3,1,P49662_Q8XAL7 (23516580)
